Name: CCTV-2, URL: http://183.191.140.139:8001/rtp/226.0.2.154:9144, IPv_Type: ipv4, Date: None, Delay: 431 ms, Speed: 0.94 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://220.176.218.27:9000/rtp/239.252.220.183:5140, IPv_Type: ipv4, Date: None, Delay: 459 ms, Speed: 0.78 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://221.232.243.168:40000/rtp/239.254.96.154:8998, IPv_Type: ipv4, Date: None, Delay: 453 ms, Speed: 0.90 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://27.17.213.212:8888/rtp/239.254.96.154:8998, IPv_Type: ipv4, Date: None, Delay: 454 ms, Speed: 0.03 M/s, Resolution: None
Name: CCTV-2, URL: http://27.17.214.13:8888/rtp/239.254.96.154:8998, IPv_Type: ipv4, Date: None, Delay: 448 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-2, URL: http://27.19.67.44:8888/rtp/239.254.96.154:8998, IPv_Type: ipv4, Date: None, Delay: 392 ms, Speed: 0.05 M/s, Resolution: None
Name: CCTV-2, URL: http://27.210.20.247:4001/rtp/239.253.254.232:8000, IPv_Type: ipv4, Date: None, Delay: 405 ms, Speed: 0.97 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://27.223.143.225:4001/rtp/239.253.254.232:8000, IPv_Type: ipv4, Date: None, Delay: 396 ms, Speed: 0.99 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://27.223.143.234:4001/rtp/239.253.254.232:8000, IPv_Type: ipv4, Date: None, Delay: 402 ms, Speed: 1.24 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://27.223.171.195:4001/rtp/239.253.254.232:8000, IPv_Type: ipv4, Date: None, Delay: 386 ms, Speed: 0.98 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://39.77.21.232:4001/rtp/239.253.254.232:8000, IPv_Type: ipv4, Date: None, Delay: 414 ms, Speed: 0.59 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://39.77.22.1:4001/rtp/239.253.254.232:8000, IPv_Type: ipv4, Date: None, Delay: 394 ms, Speed: 0.97 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://42.237.222.241:8899/rtp/225.1.4.74:1103, IPv_Type: ipv4, Date: None, Delay: 390 ms, Speed: 0.74 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://61.191.144.238:5800/rtp/238.1.78.235:7752, IPv_Type: ipv4, Date: None, Delay: 442 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-3, URL: http://106.59.2.184:55555/rtp/239.200.200.18:9008, IPv_Type: ipv4, Date: None, Delay: 439 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-3, URL: http://106.59.2.96:55555/rtp/239.200.200.18:9008, IPv_Type: ipv4, Date: None, Delay: 442 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-3, URL: http://113.120.108.132:4000/rtp/239.21.2.45:5002, IPv_Type: ipv4, Date: None, Delay: 432 ms, Speed: 0.05 M/s, Resolution: None
Name: CCTV-3, URL: http://113.120.99.168:7004/rtp/239.21.2.45:5002, IPv_Type: ipv4, Date: None, Delay: 429 ms, Speed: 0.27 M/s, Resolution: None
Name: CCTV-3, URL: http://117.64.102.205:4022/rtp/238.1.78.170:7232, IPv_Type: ipv4, Date: None, Delay: 434 ms, Speed: 0.94 M/s, Resolution: 1920x1080
Name: CCTV-3, URL: http://123.54.206.105:8000/rtp/239.16.20.253:12530, IPv_Type: ipv4, Date: None, Delay: 425 ms, Speed: 0.71 M/s, Resolution: 1920x1080
Name: CCTV-3, URL: http://144.255.16.170:6688/rtp/239.21.2.45:5002, IPv_Type: ipv4, Date: None, Delay: 423 ms, Speed: 0.95 M/s, Resolution: 1920x1080
Name: CCTV-3, URL: http://171.120.189.21:89/rtp/226.0.2.208:9576, IPv_Type: ipv4, Date: None, Delay: 401 ms, Speed: 0.91 M/s, Resolution: 1920x1080
Name: CCTV-3, URL: http://171.8.84.159:8800/rtp/239.16.20.253:12530, IPv_Type: ipv4, Date: None, Delay: 451 ms, Speed: 0.25 M/s, Resolution: 0x0
Name: CCTV-3, URL: http://171.83.2.139:1234/rtp/239.69.1.122:10370, IPv_Type: ipv4, Date: None, Delay: 419 ms, Speed: 0.96 M/s, Resolution: None
Name: CCTV-3, URL: http://183.164.63.130:5000/rtp/238.1.78.170:7232, IPv_Type: ipv4, Date: None, Delay: 519 ms, Speed: 0.73 M/s, Resolution: 1920x1080
Name: CCTV-3, URL: http://183.191.140.139:8001/rtp/226.0.2.208:9576, IPv_Type: ipv4, Date: None, Delay: 431 ms, Speed: 0.94 M/s, Resolution: 1920x1080
Name: CCTV-3, URL: http://220.176.218.27:9000/rtp/239.252.219.252:5140, IPv_Type: ipv4, Date: None, Delay: 459 ms, Speed: 0.78 M/s, Resolution: 1920x1080
Name: CCTV-3, URL: http://221.232.243.168:40000/rtp/239.69.1.122:10370, IPv_Type: ipv4, Date: None, Delay: 453 ms, Speed: 0.90 M/s, Resolution: 1920x1080
Name: CCTV-3, URL: http://27.17.213.212:8888/rtp/239.69.1.122:10370, IPv_Type: ipv4, Date: None, Delay: 454 ms, Speed: 0.03 M/s, Resolution: None
Name: CCTV-3, URL: http://27.17.214.13:8888/rtp/239.69.1.122:10370, IPv_Type: ipv4, Date: None, Delay: 448 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-3, URL: http://27.19.67.44:8888/rtp/239.69.1.122:10370, IPv_Type: ipv4, Date: None, Delay: 392 ms, Speed: 0.05 M/s, Resolution: None
Name: CCTV-3, URL: http://27.210.20.247:4001/rtp/239.253.254.191:8000, IPv_Type: ipv4, Date: None, Delay: 405 ms, Speed: 0.97 M/s, Resolution: 1920x1080
Name: CCTV-3, URL: http://27.223.143.225:4001/rtp/239.253.254.191:8000, IPv_Type: ipv4, Date: None, Delay: 396 ms, Speed: 0.99 M/s, Resolution: 1920x1080
